"","origin","destination","O_DistToCoastPC","D_DistToCoastPC","O_ParallelToCoastPC","D_ParallelToCoastPC","SSdist","max_flow","reliable_path","EucDist","DivMig","upcoast","offshore","max_flow_logdist","reliable_path_logdist"
"856","40","22",1.29068691289919,0.0220858155559212,-1.51991806650458,0.206607649260836,16,2.31e-11,9.46e-46,759.6354675,0.099,1.72652571576542,-1.26860109734326,25.4911884984008,104.671841894662
"857","42","22",1.21780161960289,0.0220858155559212,-0.0571917330639433,0.206607649260836,15,2.31e-11,2.22e-41,717.2121814,0.074,0.263799382324779,-1.19571580404697,25.4911884984008,94.6084816168717
"858","43","22",1.1212900077602,0.0220858155559212,-1.84190094670069,0.206607649260836,17,2.31e-11,3.77e-49,673.4037014,0.075,2.04850859596152,-1.09920419220428,25.4911884984008,112.499594555248
"859","1","23",-1.42734723860918,0.047754075728943,0.847584253071381,0.112037545035491,5,6.06e-06,3.89e-15,912.3313854,0.155,-0.73554670803589,1.47510131433812,13.0138007578831,34.1803672372803
"860","2","23",-1.25268966863477,0.047754075728943,1.39284430599047,0.112037545035491,6,6.06e-06,7.55e-17,825.5568036,0.138,-1.28080676095498,1.30044374436371,13.0138007578831,38.1223990176378
"861","3","23",-1.19176302782223,0.047754075728943,0.834217940358819,0.112037545035491,7,6.06e-06,1.55e-20,764.4409768,0.105,-0.722180395323328,1.23951710355117,13.0138007578831,46.6134469289498
"862","4","23",-1.21658172638856,0.047754075728943,0.590864438510349,0.112037545035491,7,6.06e-06,1.18e-22,776.1769792,0.181,-0.478826893474858,1.26433580211751,13.0138007578831,51.4913576073914
"863","5","23",-1.13964563546912,0.047754075728943,0.381142327287051,0.112037545035491,6,3.79e-06,2.27e-15,720.672358,0.216,-0.26910478225156,1.18739971119807,13.4831445388699,34.7189965634174
"864","6","23",-0.0475172237111069,0.047754075728943,-0.328177831624205,0.112037545035491,4,8.49e-05,3.07e-09,59.80416488,0.126,0.440215376659697,0.0952712994400499,10.374036464647,20.6015882753473
"865","7","23",-0.0112932890674335,0.047754075728943,-0.179756798483868,0.112037545035491,4,8.49e-05,2.63e-10,47.08858715,0.131,0.291794343519359,0.0590473647963766,10.374036464647,23.0588670837508
"866","8","23",-0.67565149954662,0.047754075728943,0.395102965777359,0.112037545035491,3,0.000719463,2.03e-05,464.7092025,0.114,-0.283065420741868,0.723405575275563,8.23700545755956,11.8048896719165
"867","9","23",-0.67054960071222,0.047754075728943,0.370370996099423,0.112037545035491,3,0.000569357,5.71e-06,460.690496,0.067,-0.258333451063932,0.718303676441163,8.47100290406119,13.0732915342964
"868","10","23",-0.67632090835051,0.047754075728943,0.196760156022134,0.112037545035491,4,5.74e-05,4.09e-09,458.3772279,0.08,-0.0847226109866424,0.724074984079453,10.7654662546388,20.3147208668917
"869","11","23",-0.908300803911853,0.047754075728943,0.378304391267952,0.112037545035491,4,0.00037054,8.02e-11,586.5180306,0.168,-0.26626684623246,0.956054879640796,8.90054915684241,24.2464976010561
"870","12","23",-0.663645544265017,0.047754075728943,0.153699181215904,0.112037545035491,3,0.000165518,1.63e-08,449.5336264,0.176,-0.0416616361804123,0.71139961999396,9.70643060773194,18.9321007291337
"871","13","23",-1.05667643651094,0.047754075728943,0.648627003716782,0.112037545035491,4,0.00037054,7.09e-11,671.4904283,0.142,-0.536589458681291,1.10443051223988,8.90054915684241,24.3697506823905
"872","14","23",-0.69932449130601,0.047754075728943,0.427843271471202,0.112037545035491,3,0.000719463,1.76e-05,479.0466365,0.104,-0.315805726435711,0.747078567034953,8.23700545755956,11.9476116559202
"873","15","23",-1.0569725817112,0.047754075728943,0.310638396572871,0.112037545035491,NA,0,0,664.8461197,0.147,-0.198600851537379,1.10472665744015,Inf,Inf
"874","16","23",-0.688236787230712,0.047754075728943,0.208103671492821,0.112037545035491,4,8.88e-05,2.25e-11,465.6034171,0.117,-0.0960661264573298,0.735990862959655,10.3291239079661,25.5175058067182
"875","17","23",0.107106014529326,0.047754075728943,-0.337620371502724,0.112037545035491,4,8.49e-05,2.56e-10,40.40420333,0.143,0.449657916538215,-0.0593519388003829,10.374036464647,23.085843671449
"876","18","23",0.126312171458394,0.047754075728943,-0.343488547332525,0.112037545035491,4,8.49e-05,2.72e-10,45.91022691,0.033,0.455526092368016,-0.0785580957294509,10.374036464647,23.0252190496326
"877","19","23",0.489697224702065,0.047754075728943,-0.477313114868541,0.112037545035491,3,8.49e-05,2.73e-07,266.467896,0.093,0.589350659904033,-0.441943148973121,10.374036464647,16.1137940417615
"878","20","23",-0.024479295955794,0.047754075728943,-0.305948889268524,0.112037545035491,4,8.49e-05,3.89e-09,60.79148918,0.146,0.417986434304015,0.072233371684737,10.374036464647,20.3648566793161
"879","21","23",-0.0369272044406424,0.047754075728943,-0.098385208220045,0.112037545035491,3,8.49e-05,6.07e-09,47.9989733,0.107,0.210422753255536,0.0846812801695854,10.374036464647,19.919907231875
"880","22","23",0.0220858155559212,0.047754075728943,0.206607649260836,0.112037545035491,1,0.000147774,0.0278125,13.46308587,0.16,-0.0945701042253443,0.0256682601730218,9.81982647832123,4.58226971905568
"881","23","23",0.047754075728943,0.047754075728943,0.112037545035491,0.112037545035491,NA,NA,NA,0,NA,0,0,NA,NA
"882","25","23",-0.0638785506198568,0.047754075728943,-0.655435417458152,0.112037545035491,5,2.14e-06,8.4e-14,106.3239449,0.178,0.767472962493643,0.1116326263488,14.0547047289305,31.1079595960674
"883","27","23",0.399527824096414,0.047754075728943,-0.675749889439903,0.112037545035491,3,8.49e-05,1.76e-08,204.6573576,0.025,0.787787434475394,-0.351773748367471,10.374036464647,18.8553669349023
"884","28","23",0.0205538871473139,0.047754075728943,-0.225005669864315,0.112037545035491,4,8.49e-05,8.24e-11,44.55252551,0.201,0.337043214899807,0.0272001885816291,10.374036464647,24.2194356790131
