"","edge_name","From","To","GeogDist","SSDist","reliable_path","max_flow"
"357","X14.32","14","32",812.071754,3,4.61e-05,0.002381213
"358","X14.33","14","33",1101.553883,6,3.29e-14,2.33e-06
"359","X14.34","14","34",1115.78606,5,5.39e-12,2.33e-06
"360","X14.35","14","35",1103.916749,6,3.24e-13,2.33e-06
"361","X14.36","14","36",1130.114193,6,3.96e-13,2.33e-06
"362","X14.37","14","37",1108.03307,6,1.69e-13,2.33e-06
"363","X14.38","14","38",1097.756762,5,2.52e-13,2.33e-06
"364","X14.40","14","40",1215.691844,5,1.4e-12,1.18e-05
"365","X14.42","14","42",1147.464574,5,4.31e-12,2.33e-06
"366","X14.43","14","43",1134.766753,5,8.44e-11,0.000157401
"367","X16.6","16","6",428.6420055,4,3.45e-08,0.001151334
"368","X16.7","16","7",446.3882836,4,1.17e-09,0.001151334
"369","X16.10","16","10",6.279950706,5,6.39e-13,1.85e-06
"370","X16.12","16","12",13.76909724,4,2.08e-12,2.02e-06
"371","X16.17","16","17",509.3119253,4,1.06e-09,0.001151334
"372","X16.18","16","18",516.768361,4,3.8e-10,0.001151334
"373","X16.19","16","19",707.6871655,5,2.69e-12,0.000821815
"374","X16.20","16","20",447.0898887,4,1.71e-09,0.001151334
"375","X16.21","16","21",423.8249013,4,4.51e-08,0.001040216
"376","X16.22","16","22",448.7815993,4,3.64e-10,6.57e-05
"377","X16.23","16","23",465.6034171,4,2.25e-11,8.88e-05
"378","X16.25","16","25",447.4186809,4,5.19e-09,0.001151334
"379","X16.27","16","27",660.6403396,5,1.06e-11,0.001151334
"380","X16.28","16","28",469.4956874,4,2.7e-08,0.001151334
"381","X16.29","16","29",491.520143,4,5.27e-10,0.001151334
"382","X16.30","16","30",501.7688874,4,5.68e-09,0.001151334
"383","X16.32","16","32",803.8559728,5,4.16e-11,0.001151334
"384","X16.40","16","40",1205.311357,5,1.44e-14,1.18e-05
"385","X16.42","16","42",1140.373358,5,5.03e-14,2.33e-06
"386","X16.43","16","43",1123.194248,5,1.36e-14,0.000157401
"387","X11.6","11","6",543.1152679,4,2.87e-10,0.000670814
"388","X11.7","11","7",562.4483996,4,1.25e-11,0.000670814
"389","X11.8","11","8",135.7586289,3,1.23e-11,1.63e-08
