"","edge_name","From","To","GeogDist","SSDist","reliable_path","max_flow"
"44","X6.15","6","15",615.4198738,5,1.67e-13,5.46e-07
"45","X6.16","6","16",428.6420055,5,2.09e-13,5.46e-07
"46","X25.14","25","14",464.8201236,5,3.71e-14,5.27e-08
"47","X20.6","20","6",7.308250185,3,1.78e-05,0.00057831
"48","X20.8","20","8",449.0094846,5,2.26e-13,1.63e-08
"49","X20.9","20","9",445.0041189,4,8.07e-13,2.01e-08
"50","X20.11","20","11",561.3608758,5,4.65e-14,2.63e-07
"51","X20.14","20","14",462.8854749,4,1.13e-11,5.27e-08
"52","X20.15","20","15",633.2548924,5,1.36e-13,5.46e-07
"53","X20.16","20","16",447.0898887,5,1.7e-13,5.46e-07
"54","X7.8","7","8",447.6918582,5,3.37e-13,1.63e-08
"55","X7.9","7","9",443.6708841,5,4.44e-13,2.01e-08
"56","X7.10","7","10",439.5291587,6,2.18e-16,5.46e-07
"57","X7.11","7","11",562.4483996,6,2.56e-14,2.63e-07
"58","X7.14","7","14",461.683523,5,6.22e-12,5.27e-08
"59","X7.15","7","15",636.1039681,5,6.9e-13,5.46e-07
"60","X7.16","7","16",446.3882836,5,2.46e-13,5.46e-07
"61","X7.21","7","21",18.09759087,4,8.14e-09,0.000785741
"62","X22.8","22","8",447.7734085,5,1.51e-13,1.63e-08
"63","X22.9","22","9",443.7568599,4,1.12e-12,2.01e-08
"64","X22.11","22","11",569.9783244,5,6.47e-14,2.63e-07
"65","X22.14","22","14",462.1271307,4,1.57e-11,5.27e-08
"66","X22.15","22","15",648.7541932,5,2.69e-13,5.46e-07
"67","X22.16","22","16",448.7815993,5,2.36e-13,5.46e-07
"68","X22.21","22","21",36.53789167,3,1.18e-08,0.000785741
"69","X23.8","23","8",464.7092025,5,5.34e-14,1.63e-08
"70","X23.9","23","9",460.690496,4,8.66e-14,2.01e-08
"71","X23.14","23","14",479.0466365,4,1.21e-12,5.27e-08
"72","X23.15","23","15",664.8461197,5,1.18e-13,5.46e-07
"73","X23.16","23","16",465.6034171,5,4.23e-14,5.46e-07
"74","X23.21","23","21",47.9989733,3,9.14e-09,0.000785741
"75","X23.22","23","22",13.46308587,4,1.91e-10,6.39e-05
"76","X28.6","28","6",31.29822933,2,0.000958873,0.001095482
"77","X28.7","28","7",18.68268094,3,3.81e-06,0.001095482
"78","X28.8","28","8",470.8517532,4,8.89e-12,1.63e-08
"79","X28.9","28","9",466.8302764,4,1.17e-11,2.01e-08
"80","X28.10","28","10",462.6538775,5,5.74e-15,5.46e-07
"81","X28.11","28","11",584.9848614,5,6.75e-13,2.63e-07
"82","X28.12","28","12",453.5446587,5,1.3e-13,5.46e-07
"83","X28.14","28","14",484.8417059,4,1.64e-10,5.27e-08
"84","X28.15","28","15",657.7385599,5,1.97e-12,5.46e-07
"85","X28.16","28","16",469.4956874,5,2.46e-12,5.46e-07
"86","X28.20","28","20",20.64267656,3,4.74e-05,0.001095482
"87","X28.21","28","21",40.69712526,4,7.73e-09,0.000785741
"88","X30.6","30","6",93.01291648,2,0.000181257,0.002079184
"89","X30.7","30","7",76.98240227,3,7.2e-07,0.001170288
"90","X30.8","30","8",500.1155911,4,3.14e-13,1.63e-08
"91","X30.9","30","9",496.1124776,3,2.41e-11,2.01e-08
"92","X30.10","30","10",494.4369388,4,3.01e-15,5.46e-07
"93","X30.11","30","11",623.9866594,4,1.39e-12,2.63e-07
"94","X30.12","30","12",485.6986322,4,6.78e-14,5.46e-07
"95","X30.14","30","14",514.5434066,3,3.37e-10,5.27e-08
"96","X30.15","30","15",703.1716806,4,4.06e-12,5.46e-07
"97","X30.16","30","16",501.7688874,4,5.06e-12,5.46e-07
"98","X30.20","30","20",88.67547264,3,1.78e-05,0.002079184
"99","X30.21","30","21",85.3312655,3,9.31e-09,0.000785741
"100","X30.22","30","22",51.17925544,4,4.47e-11,6.39e-05
"101","X30.23","30","23",33.06228357,4,4.02e-10,8.49e-05
"102","X30.25","30","25",130.9609693,3,1.28e-05,0.002238898
"103","X29.6","29","6",58.59411218,2,0.002200327,0.000423467
"104","X29.7","29","7",42.93301515,2,8.75e-06,0.000423467
"105","X29.8","29","8",492.0714032,5,1.88e-14,1.63e-08
"106","X29.9","29","9",488.0386735,4,6.7e-14,2.01e-08
"107","X29.14","29","14",506.1973678,4,9.38e-13,5.27e-08
"108","X29.15","29","15",683.5622059,5,2.52e-13,5.46e-07
"109","X29.16","29","16",491.520143,5,8.98e-14,5.46e-07
