"","origin","destination","O_DistToCoastPC","D_DistToCoastPC","O_ParallelToCoastPC","D_ParallelToCoastPC","SSdist","max_flow","reliable_path","EucDist","DivMig","upcoast","offshore","max_flow_logdist","reliable_path_logdist"
"199","9","11",-0.0494297680917916,0.573693835418848,-0.452249945493855,-0.374444859925122,10,3.54e-11,5.97e-21,311.1803332,0.475,0.0778050855687339,0.623123603510639,25.0643092957888,47.5675400254704
"200","10","11",-0.187354795965576,0.573693835418848,-0.175171357435347,-0.374444859925122,6,2.14e-06,6.8e-12,363.5450262,0.327,-0.199273502489775,0.761048631384424,14.0547047289305,26.7140985037465
"201","11","11",0.573693835418848,0.573693835418848,-0.374444859925122,-0.374444859925122,NA,NA,NA,0,NA,0,0,NA,NA
"202","12","11",0.319866725673905,0.573693835418848,-0.540201395552134,-0.374444859925122,5,1.47e-05,2.72e-09,134.5610718,0.453,0.165756535627013,0.253827109744943,12.1276630641796,20.7226339566385
"203","13","11",0.207329504440185,0.573693835418848,0.0280648143946437,-0.374444859925122,2,0.002236871,0.000133035,160.455904,0.306,-0.402509674319765,0.366364330978663,7.10267726465458,9.92489830646775
"204","14","11",0.881628379757234,0.573693835418848,0.0357526114966158,-0.374444859925122,11,2.31e-11,2.71e-27,137.4190047,0.229,-0.410197471421737,-0.307934544338386,25.4911884984008,62.1728488759476
"205","15","11",0.716629491589114,0.573693835418848,-0.648190168600681,-0.374444859925122,13,2.31e-11,2.72e-30,96.05211351,0.295,0.273745308675559,-0.142935656170266,25.4911884984008,69.0769209095135
"206","16","11",0.797612827252036,0.573693835418848,0.0633391809484843,-0.374444859925122,9,1.29e-05,2.89e-22,98.32721699,0.263,-0.437784040873606,-0.223918991833189,12.2582832465966,50.5956155437447
"207","17","11",1.09724271523061,0.573693835418848,-1.277541640122,-0.374444859925122,NA,0,0,258.7616768,0.103,0.903096780196883,-0.523548879811764,Inf,Inf
"208","18","11",1.12375399839346,0.573693835418848,-0.142965254169432,-0.374444859925122,14,2.31e-11,1.59e-36,249.5786451,0.141,-0.231479605755689,-0.550060162974615,25.4911884984008,83.4293293315535
"209","19","11",1.30573879311643,0.573693835418848,-1.76250545731139,-0.374444859925122,20,2.31e-11,1.81e-49,382.4139716,0.29,1.38806059738626,-0.73204495769758,25.4911884984008,113.233342711431
"210","1","12",-1.93269390089566,0.319866725673905,1.73209740467106,-0.540201395552134,6,6.06e-06,8.37e-16,1092.312779,0.533,-2.27229880022319,2.25256062656957,13.0138007578831,35.7167076034033
"211","2","12",-1.57127288083401,0.319866725673905,1.16424987627379,-0.540201395552134,6,3.79e-06,5.81e-15,900.7514696,0.473,-1.70445127182593,1.89113960650792,13.4831445388699,33.7791958240469
"212","3","12",-0.81779492222372,0.319866725673905,0.664534928932141,-0.540201395552134,4,0.003118209,8.26e-10,545.2283319,0.744,-1.20473632448428,1.13766164789762,6.77049648044544,21.9144263424076
"213","4","12",-0.498388624975441,0.319866725673905,0.309657056465821,-0.540201395552134,3,0.003343134,2.79e-08,379.7415874,0.551,-0.849858452017955,0.818255350649346,6.7008465885904,18.3946391481191
"214","5","12",-1.47010984875349,0.319866725673905,1.06018359825244,-0.540201395552134,NA,0,0,844.5637825,0.429,-1.60038499380457,1.7899765744274,Inf,Inf
"215","6","12",-0.0842392633495934,0.319866725673905,0.70262472391694,-0.540201395552134,3,0.00289199,2.14e-05,193.3653931,0.294,-1.24282611946907,0.404105989023498,6.84581043250626,11.7521196359365
"216","7","12",-0.20978638087055,0.319866725673905,-0.199564643045108,-0.540201395552134,4,2.14e-06,1.48e-10,243.7697836,0.626,-0.340636752507026,0.529653106544455,14.0547047289305,23.6338088421644
"217","8","12",-0.202425884912012,0.319866725673905,-0.187669473696846,-0.540201395552134,3,2.14e-06,6.27e-10,239.5762234,0.16,-0.352531921855289,0.522292610585917,14.0547047289305,22.1900745752956
"218","9","12",-0.0494297680917916,0.319866725673905,-0.452249945493855,-0.540201395552134,8,3.54e-11,5.85e-18,178.1497575,0.484,-0.0879514500582789,0.369296493765696,25.0643092957888,40.6800900126491
"219","10","12",-0.187354795965576,0.319866725673905,-0.175171357435347,-0.540201395552134,4,2.14e-06,6.66e-09,234.9686291,0.366,-0.365030038116788,0.507221521639481,14.0547047289305,19.8271463523941
"220","11","12",0.573693835418848,0.319866725673905,-0.374444859925122,-0.540201395552134,2,5.38e-05,8.28e-06,134.5610718,0.296,-0.165756535627013,-0.253827109744943,10.8302370907965,12.7016675895671
"221","12","12",0.319866725673905,0.319866725673905,-0.540201395552134,-0.540201395552134,NA,NA,NA,0,NA,0,0,NA,NA
"222","13","12",0.207329504440185,0.319866725673905,0.0280648143946437,-0.540201395552134,2,0.002055897,0.000434548,56.294349,0.149,-0.568266209946778,0.112537221233719,7.18704302992039,8.74120414755371
"223","14","12",0.881628379757234,0.319866725673905,0.0357526114966158,-0.540201395552134,9,2.31e-11,1.65e-25,260.8841627,0.11,-0.57595400704875,-0.561761654083329,25.4911884984008,58.0638520369387
"224","15","12",0.716629491589114,0.319866725673905,-0.648190168600681,-0.540201395552134,11,2.31e-11,1.66e-28,181.4720849,0.403,0.107988773048546,-0.396762765915209,25.4911884984008,64.9655650014648
"225","16","12",0.797612827252036,0.319866725673905,0.0633391809484843,-0.540201395552134,8,1.29e-05,8.67e-26,228.2073033,0.102,-0.603540576500619,-0.477746101578132,12.2582832465966,58.7073436270527
"226","17","12",1.09724271523061,0.319866725673905,-1.277541640122,-0.540201395552134,NA,0,0,357.804582,0.127,0.73734024456987,-0.777375989556708,Inf,Inf
"227","18","12",1.12375399839346,0.319866725673905,-0.142965254169432,-0.540201395552134,12,2.31e-11,9.67e-35,376.7073479,0.073,-0.397236141382702,-0.803887272719558,25.4911884984008,79.3214499453264
"228","19","12",1.30573879311643,0.319866725673905,-1.76250545731139,-0.540201395552134,18,2.31e-11,1.1e-47,466.9450823,0.329,1.22230406175925,-0.985872067442524,25.4911884984008,109.126189190916
"229","1","13",-1.93269390089566,0.207329504440185,1.73209740467106,0.0280648143946437,6,6.06e-06,5.34e-14,1025.583005,0.371,-1.70403259027641,2.14002340533585,13.0138007578831,31.5609656489445
"230","2","13",-1.57127288083401,0.207329504440185,1.16424987627379,0.0280648143946437,6,3.79e-06,2.53e-13,834.8225738,0.349,-1.13618506187915,1.7786023852742,13.4831445388699,30.0053869061832
"231","3","13",-0.81779492222372,0.207329504440185,0.664534928932141,0.0280648143946437,3,0.003118209,2.09e-08,478.7484576,0.276,-0.636470114537497,1.0251244266639,6.77049648044544,18.6835166779756
"232","4","13",-0.498388624975441,0.207329504440185,0.309657056465821,0.0280648143946437,2,0.005918944,3.7e-06,314.4011056,0.343,-0.281592242071177,0.705718129415627,6.12959722437592,13.5071777383141
"233","5","13",-1.47010984875349,0.207329504440185,1.06018359825244,0.0280648143946437,NA,0,0,779.1993558,0.277,-1.03211878385779,1.67743935319368,Inf,Inf
"234","6","13",-0.0842392633495934,0.207329504440185,0.70262472391694,0.0280648143946437,2,0.002870743,0.002269487,127.2249496,0.297,-0.674559909522296,0.291568767789779,6.85318439769813,7.08820146421811
"235","7","13",-0.20978638087055,0.207329504440185,-0.199564643045108,0.0280648143946437,4,2.14e-06,1.33e-10,190.558422,0.351,0.227629457439752,0.417115885310735,14.0547047289305,23.7406719877068
"236","8","13",-0.202425884912012,0.207329504440185,-0.187669473696846,0.0280648143946437,3,2.14e-06,1.23e-09,187.425962,0.217,0.215734288091489,0.409755389352197,14.0547047289305,21.5162516675621
"237","9","13",-0.0494297680917916,0.207329504440185,-0.452249945493855,0.0280648143946437,8,3.54e-11,5e-19,137.9515668,0.394,0.480314759888499,0.256759272531977,25.0643092957888,43.1396788544528
"238","10","13",-0.187354795965576,0.207329504440185,-0.175171357435347,0.0280648143946437,4,2.14e-06,5.7e-10,184.0286663,0.336,0.203236171829991,0.394684300405761,14.0547047289305,22.2853847551
"239","11","13",0.573693835418848,0.207329504440185,-0.374444859925122,0.0280648143946437,1,5.38e-05,0.00085,160.455904,0.486,0.402509674319765,-0.366364330978663,10.8302370907965,8.07027420847991
"240","12","13",0.319866725673905,0.207329504440185,-0.540201395552134,0.0280648143946437,3,1.47e-05,1.56e-06,56.294349,0.301,0.568266209946778,-0.112537221233719,12.1276630641796,14.3708247367028
"241","13","13",0.207329504440185,0.207329504440185,0.0280648143946437,0.0280648143946437,NA,NA,NA,0,NA,0,0,NA,NA
"242","14","13",0.881628379757234,0.207329504440185,0.0357526114966158,0.0280648143946437,9,2.31e-11,7.26e-25,298.2057037,0.292,-0.00768779710197212,-0.674298875317049,25.4911884984008,56.5822474960144
"243","15","13",0.716629491589114,0.207329504440185,-0.648190168600681,0.0280648143946437,11,2.31e-11,7.3e-28,227.6892595,0.317,0.676254982995324,-0.509299987148929,25.4911884984008,63.4845082556789
"244","16","13",0.797612827252036,0.207329504440185,0.0633391809484843,0.0280648143946437,8,1.29e-05,5.23e-25,261.8294936,0.33,-0.0352743665538406,-0.590283322811851,12.2582832465966,56.9102160467743
"245","17","13",1.09724271523061,0.207329504440185,-1.277541640122,0.0280648143946437,NA,0,0,404.9559668,0.12,1.30560645451665,-0.889913210790427,Inf,Inf
